Id,States/UTs,District,Year,Murder,Rape,Kidnapping_Abduction,Dacoity,Robbery,Theft,Riots,Dowry_Deaths,Assault_on_Women,major_crimes
0,Andhra Pradesh,Anantapur,2026,134,35,0,6,30,753,214,25,436,8376
1,Andhra Pradesh,Chittoor,2026,84,32,4,12,22,528,134,17,135,5374
2,Andhra Pradesh,Cuddapah,2026,80,28,0,3,16,638,104,16,215,5803
3,Andhra Pradesh,East Godavari,2026,64,85,0,3,24,903,27,7,519,7630
4,Andhra Pradesh,Guntakal Railway,2026,14,0,0,2,4,413,1,0,0,490
5,Andhra Pradesh,Guntur,2026,105,49,12,5,24,711,78,16,245,6897
6,Andhra Pradesh,Guntur Urban,2026,51,40,0,5,31,1045,8,12,160,5798
7,Andhra Pradesh,Krishna,2026,51,80,20,0,15,521,9,8,354,7078
8,Andhra Pradesh,Kurnool,2026,118,32,4,3,28,563,108,12,403,8398
9,Andhra Pradesh,Nellore,2026,78,58,71,8,44,1058,84,14,295,8175
10,Andhra Pradesh,Prakasham,2026,75,50,17,5,23,617,124,8,197,6367
11,Andhra Pradesh,Rajahmundry,2026,18,35,5,3,14,361,16,3,121,2430
12,Andhra Pradesh,Srikakulam,2026,30,40,26,0,8,236,17,3,214,4727
13,Andhra Pradesh,Tirupathi Urban,2026,35,18,3,2,8,1148,31,13,60,3651
14,Andhra Pradesh,Vijayawada City,2026,23,64,13,3,48,2016,2,10,279,7876
15,Andhra Pradesh,Vijayawada Railway,2026,1,0,3,0,7,1085,0,2,8,1223
16,Andhra Pradesh,Visakha Rural,2026,43,38,18,5,5,179,14,4,129,3028
17,Andhra Pradesh,Visakhapatnam,2026,38,84,130,4,46,1358,3,13,147,7728
18,Andhra Pradesh,Vizianagaram,2026,43,47,0,2,4,388,13,8,225,5013
19,Andhra Pradesh,West Godavari,2026,90,146,29,4,32,1096,26,24,405,8542
20,Andhra Pradesh,Total,2026,1175,961,355,75,433,15617,1013,215,4547,114604
21,Arunachal Pradesh,Anjaw,2026,0,0,0,0,0,2,1,0,1,29
22,Arunachal Pradesh,Changlang,2026,9,6,0,1,5,50,1,0,0,180
23,Arunachal Pradesh,Crime Branch,2026,0,0,0,0,0,0,0,0,0,4
24,Arunachal Pradesh,Dibang Valley,2026,0,1,0,0,0,0,0,0,0,4
25,Arunachal Pradesh,Kameng East,2026,4,1,0,2,4,18,0,0,6,148
26,Arunachal Pradesh,Kameng West,2026,7,0,0,1,3,21,8,0,9,140
27,Arunachal Pradesh,Kukung Kumey,2026,4,3,0,0,0,5,1,0,1,49
28,Arunachal Pradesh,Lohit,2026,10,7,0,1,8,39,3,0,13,280
29,Arunachal Pradesh,Longding,2026,4,3,5,1,1,5,0,0,3,92
30,Arunachal Pradesh,Lower Dibang Valley,2026,2,3,4,1,1,21,0,0,0,75
31,Arunachal Pradesh,Papum Pare City,2026,13,32,35,0,11,154,6,1,26,661
32,Arunachal Pradesh,Papum Pare Rural,2026,7,0,3,2,3,20,2,0,4,96
